College_ID,IQ,Prev_Sem_Result,CGPA,Academic_Performance,Internship_Experience,Extra_Curricular_Score,Communication_Skills,Projects_Completed,Placement
CLG0030,107,6.61,6.28,8,No,8,8,4,No
CLG0061,97,5.52,5.37,8,No,7,8,0,No
CLG0036,109,5.36,5.83,9,No,3,1,1,No
CLG0055,122,5.47,5.75,6,Yes,1,6,1,No
CLG0004,96,7.91,7.69,7,No,8,10,2,No
CLG0015,96,5.26,5.32,7,No,5,8,0,No
CLG0071,123,6.68,6.58,5,No,7,8,2,Yes
CLG0096,111,8.77,8.76,7,No,3,1,2,Yes
CLG0097,92,6.47,6.33,9,No,7,8,5,No
CLG0057,108,8.82,8.6,4,No,5,9,1,No
CLG0063,93,8.73,8.9,2,Yes,5,6,0,No
CLG0077,93,6.23,6.51,8,No,5,7,4,No
CLG0064,103,8.64,9.01,7,Yes,8,6,1,No
CLG0017,71,8.74,8.4,6,No,0,5,2,No
CLG0053,74,6.99,7.31,7,No,0,1,2,No
CLG0040,91,6.05,5.8,3,No,4,2,3,No
CLG0070,84,7.61,7.54,6,No,0,10,0,No
CLG0050,104,9.61,10.01,10,Yes,9,2,4,No
CLG0068,86,8.2,8.15,7,No,8,9,4,Yes
CLG0015,78,5.86,5.56,7,Yes,3,6,2,No
CLG0072,121,8.41,8.07,5,Yes,1,3,3,Yes
CLG0034,96,7.14,7.11,3,Yes,2,3,3,No
CLG0030,101,7.96,8.22,2,Yes,8,10,0,No
CLG0087,78,8.67,9.17,7,Yes,10,10,2,Yes
CLG0073,91,7.57,7.86,4,Yes,7,2,2,No
CLG0024,101,9.07,9.45,2,No,2,7,2,No
CLG0008,82,8.61,8.86,8,No,7,1,0,No
CLG0057,105,8.08,8.48,2,No,3,1,4,No
CLG0070,90,5.75,5.33,6,Yes,5,10,1,No
CLG0025,95,9.18,9.61,4,Yes,3,3,3,No
CLG0077,90,9.68,9.58,9,Yes,10,1,4,No
CLG0034,127,5.68,6.1,5,No,4,3,1,No
CLG0025,99,7.44,7.02,4,No,9,9,4,No
CLG0018,84,6.29,6.51,8,No,8,7,4,No
CLG0073,112,8.77,9.01,3,Yes,1,9,4,Yes
CLG0097,81,8.61,9.11,9,Yes,8,7,4,No
CLG0070,103,5.7,5.97,8,Yes,2,9,2,No
CLG0014,70,9.39,9.27,8,No,4,3,4,No
CLG0006,80,5.9,5.96,10,Yes,6,7,1,No
CLG0082,102,8.99,8.86,5,No,1,6,1,No
CLG0090,111,7.28,6.98,1,No,3,2,3,No
CLG0036,102,6.64,6.39,10,No,0,6,5,No
CLG0036,98,5.79,5.51,9,No,10,3,0,No
CLG0075,95,5.84,5.89,2,Yes,2,2,1,No
CLG0018,77,8.31,8.72,1,Yes,5,5,1,No
CLG0015,89,7.75,8.16,6,Yes,1,5,1,No
CLG0094,93,5.61,5.16,1,Yes,7,2,1,No
CLG0089,115,5.56,5.14,10,Yes,6,3,0,No
CLG0016,105,5.36,5.11,10,No,2,8,0,No
CLG0076,73,8.72,8.48,10,Yes,0,5,5,No
CLG0014,104,8.56,8.15,7,No,9,8,4,Yes
CLG0047,94,5.29,5.18,7,Yes,3,10,5,No
CLG0054,89,7.8,7.89,1,Yes,3,4,1,No
CLG0058,109,5.42,5.5,10,No,10,4,1,No
CLG0077,115,9.52,9.56,5,No,4,6,3,Yes
CLG0030,113,9.54,9.38,3,No,2,10,3,Yes
CLG0100,87,8.49,8.7,2,No,10,5,3,No
CLG0046,95,9.63,9.96,5,No,1,5,3,No
CLG0016,104,9.06,8.91,5,No,1,9,4,Yes
CLG0001,114,9.14,8.73,2,Yes,7,6,2,Yes
CLG0041,92,7.85,7.65,6,No,6,3,3,No
CLG0093,97,6.53,6.17,7,No,0,4,3,No
CLG0027,83,6.09,6.06,1,No,8,9,0,No
CLG0077,82,6.64,6.3,3,No,2,6,5,No
CLG0062,112,8.14,8.1,4,No,2,8,1,Yes
CLG0081,120,5.86,5.58,2,No,0,7,4,No
CLG0028,98,6.29,6.53,10,Yes,10,1,1,No
CLG0020,115,7.34,6.87,5,Yes,3,1,2,No
CLG0055,105,6.17,6.22,4,No,9,10,4,No
CLG0051,90,7.94,7.61,2,No,10,7,2,No
CLG0069,105,9.62,9.12,1,Yes,1,2,1,No
CLG0088,123,8.74,9.11,8,No,2,9,0,Yes
CLG0073,99,8.33,8.5,2,No,10,10,3,Yes
CLG0097,123,7.91,7.51,4,No,0,9,1,No
CLG0034,60,7.44,7.6,10,Yes,2,2,4,No
CLG0027,112,5.93,6.04,5,No,3,9,3,Yes
CLG0097,101,9.47,9.44,2,No,5,9,4,Yes
CLG0038,95,6.24,6.16,10,No,2,10,2,No
CLG0029,101,5.46,5.85,9,Yes,10,6,4,No
CLG0035,70,8.75,8.5,2,No,5,5,0,No
CLG0020,96,5.88,5.78,6,No,1,10,2,No
CLG0019,105,6.86,6.69,7,No,10,2,5,No
CLG0005,122,5.14,5.41,6,No,7,6,5,No
CLG0025,92,5.69,6.11,4,No,4,9,1,No
CLG0093,87,5.87,6.22,1,No,0,3,3,No
CLG0026,92,5.27,5.57,2,No,5,3,3,No
CLG0051,113,8.28,8.77,10,No,2,4,0,No
CLG0066,104,9.19,9.39,10,Yes,3,10,4,Yes
CLG0061,92,6.87,7.12,6,No,9,4,1,No
CLG0015,107,9.37,9.85,8,Yes,7,1,5,No
CLG0045,101,6.07,5.58,3,Yes,7,2,4,No
CLG0006,114,6.63,6.76,7,No,10,6,5,No
CLG0058,89,5.75,5.99,9,No,7,5,4,No
CLG0001,95,8.1,8.52,4,Yes,4,10,0,No
CLG0073,94,7.1,7.48,7,No,0,4,5,No
CLG0043,78,8.07,8.41,7,No,8,10,2,Yes
CLG0016,104,8.81,9.26,10,No,10,9,5,Yes
CLG0014,103,7.73,7.77,9,Yes,8,2,2,No
CLG0074,100,8.14,7.65,3,No,7,8,0,No
CLG0019,96,9.68,9.19,1,Yes,10,4,0,No
CLG0051,78,6.5,6.54,8,Yes,2,9,0,No
CLG0008,93,6.8,6.74,4,No,5,4,4,No
CLG0048,94,8.59,8.54,2,No,6,2,5,No
CLG0012,87,8.06,7.96,5,No,3,6,5,No
CLG0070,97,5.89,6.31,4,No,9,9,4,No
CLG0035,106,6.88,6.74,1,Yes,6,7,1,No
CLG0070,128,7.34,7.7,7,No,8,1,0,No
CLG0006,102,7.1,7.5,4,No,5,9,4,No
CLG0099,103,5.89,5.89,8,Yes,1,6,2,No
CLG0011,98,9.62,9.57,9,No,5,9,5,Yes
CLG0038,71,8.81,9.07,8,Yes,2,2,5,No
CLG0091,99,7.41,7.62,1,No,6,7,0,No
CLG0026,100,8.4,8.23,8,Yes,2,8,2,Yes
CLG0028,136,9.49,9.09,5,No,7,8,3,Yes
CLG0072,97,5.68,5.44,1,Yes,10,5,1,No
CLG0089,104,6.25,5.88,9,Yes,10,7,3,No
CLG0083,99,7.71,7.5,9,No,4,7,1,No
CLG0080,82,9.0,8.76,7,No,2,3,0,No
CLG0050,117,5.18,5.32,7,No,0,2,5,No
CLG0058,111,9.92,10.37,1,No,4,5,1,No
CLG0026,111,7.27,7.46,9,No,9,4,4,No
CLG0044,86,6.8,7.23,1,Yes,9,8,2,No
CLG0015,121,6.46,6.74,7,No,10,5,5,No
CLG0076,78,5.87,6.1,9,No,2,9,4,No
CLG0024,108,8.96,8.87,9,No,3,7,0,No
CLG0077,132,9.78,9.6,5,No,9,1,3,Yes
CLG0059,85,7.07,7.42,6,No,3,2,2,No
CLG0057,91,9.76,10.17,2,No,2,8,0,No
CLG0017,101,9.12,9.07,2,No,5,10,4,Yes
CLG0077,92,7.41,6.92,10,No,5,8,4,No
CLG0081,76,8.37,8.66,9,No,0,2,1,No
CLG0001,101,7.17,6.96,1,No,3,7,1,No
CLG0011,84,7.79,7.3,10,Yes,0,8,3,No
CLG0020,107,5.29,5.59,5,Yes,6,4,1,No
CLG0031,86,8.48,8.5,7,No,6,3,1,No
CLG0099,123,5.26,5.45,10,Yes,5,10,1,No
CLG0039,88,9.09,9.5,6,No,10,9,3,Yes
CLG0063,95,9.12,9.16,6,No,1,2,0,No
CLG0006,112,6.19,6.19,6,No,3,3,5,No
CLG0099,81,6.62,6.41,8,No,2,8,2,No
CLG0028,103,7.41,7.22,7,Yes,10,2,0,No
CLG0051,119,7.98,8.28,5,No,7,5,5,Yes
CLG0053,75,6.44,6.39,10,No,1,10,5,No
CLG0044,102,7.96,7.62,2,Yes,9,8,0,No
CLG0065,103,6.49,6.08,10,No,1,7,0,No
CLG0080,111,5.28,5.25,6,Yes,0,4,4,No
CLG0012,81,5.01,4.97,10,No,8,10,2,No
CLG0028,80,5.51,5.66,5,No,2,9,2,No
CLG0079,107,8.96,8.93,4,Yes,7,2,4,No
CLG0072,104,9.81,9.45,10,No,6,7,5,No
CLG0068,103,7.13,7.14,5,No,0,7,4,No
CLG0095,105,7.56,7.97,9,No,10,7,5,No
CLG0030,89,5.73,5.39,2,Yes,5,7,1,No
CLG0035,103,7.76,7.95,6,No,7,5,4,No
CLG0006,104,5.72,5.81,9,No,5,1,3,No
CLG0085,89,8.06,8.31,10,No,8,4,4,No
CLG0030,127,9.67,9.32,5,Yes,9,5,1,No
CLG0080,107,5.98,6.42,6,No,2,10,4,No
CLG0063,82,8.82,8.94,10,No,5,4,3,No
CLG0008,109,5.12,5.47,4,Yes,9,7,4,No
CLG0091,85,6.88,6.63,5,No,3,2,5,No
CLG0033,111,5.55,5.79,8,No,9,2,0,No
CLG0043,117,6.76,7.04,1,Yes,2,2,2,No
CLG0076,87,5.87,5.77,1,Yes,7,10,3,No
CLG0043,114,6.87,6.75,10,Yes,6,3,3,No
CLG0045,106,7.09,7.25,4,Yes,6,5,3,No
CLG0087,112,6.5,6.09,10,Yes,4,10,5,Yes
CLG0054,128,8.28,8.52,3,Yes,0,9,0,Yes
CLG0065,96,9.59,9.13,5,Yes,5,3,0,No
CLG0007,88,7.0,6.69,10,Yes,5,6,2,No
CLG0036,86,5.96,6.12,8,Yes,2,6,1,No
CLG0025,87,6.35,5.95,1,No,4,6,2,No
CLG0085,98,9.27,9.74,5,No,8,5,3,No
CLG0037,105,7.86,8.23,5,No,6,2,3,No
CLG0012,104,7.28,7.41,2,Yes,7,1,3,No
CLG0032,112,5.75,6.07,5,Yes,8,5,2,No
CLG0049,100,7.25,7.64,8,Yes,5,8,1,No
CLG0038,121,6.39,6.15,10,Yes,4,10,1,No
CLG0056,96,9.72,10.07,7,No,9,5,2,No
CLG0080,140,9.42,9.11,2,No,4,3,5,Yes
CLG0065,109,5.42,5.33,6,Yes,4,3,3,No
CLG0026,87,7.58,7.64,10,No,3,2,2,No
CLG0057,83,6.13,6.34,1,No,1,7,2,No
CLG0014,107,7.05,6.58,10,No,6,2,4,No
CLG0056,96,9.38,9.17,10,Yes,6,6,4,No
CLG0070,110,7.64,7.75,3,Yes,7,8,0,No
CLG0041,107,6.67,6.53,6,No,7,8,0,No
CLG0051,98,6.04,6.32,9,Yes,10,2,2,No
CLG0084,87,9.0,9.15,1,No,7,6,4,No
CLG0067,77,8.12,7.85,6,Yes,8,3,3,No
CLG0012,93,7.34,6.99,2,Yes,5,9,0,No
CLG0097,112,6.09,6.22,9,Yes,3,3,3,No
CLG0049,103,6.67,6.62,2,Yes,1,1,3,No
CLG0001,81,9.8,9.47,3,No,4,9,0,No
CLG0019,102,7.6,7.43,2,Yes,5,8,5,No
CLG0066,105,7.0,6.8,4,Yes,6,2,2,No
CLG0058,86,7.61,7.22,4,No,5,10,4,No
CLG0087,102,8.89,8.94,10,Yes,3,10,0,No
CLG0072,100,6.7,6.96,1,Yes,3,3,1,No
CLG0098,82,5.89,5.97,8,Yes,6,7,1,No
CLG0004,105,7.92,8.25,5,Yes,0,6,3,No
CLG0008,108,8.33,7.96,8,No,2,8,1,No
CLG0027,116,8.56,8.5,6,Yes,9,10,3,Yes
CLG0026,115,9.41,9.52,2,No,1,5,5,Yes
CLG0097,79,6.86,7.04,7,No,1,5,5,No
CLG0043,85,5.38,5.58,10,No,6,2,5,No
CLG0040,107,9.79,10.02,9,No,4,6,5,No
CLG0050,107,7.18,7.33,7,Yes,2,5,5,No
CLG0067,107,8.12,7.71,5,No,8,9,4,No
CLG0073,157,8.33,8.53,4,No,8,3,0,No
CLG0074,108,7.73,7.95,8,No,2,5,0,No
CLG0029,117,6.03,6.52,6,No,1,3,4,No
CLG0085,114,8.78,8.97,5,Yes,2,9,3,Yes
CLG0042,109,9.02,9.21,7,Yes,8,9,5,Yes
CLG0018,95,7.76,7.77,3,Yes,7,10,2,No
CLG0081,111,7.44,7.81,9,No,2,7,1,No
CLG0021,88,5.57,6.07,4,No,3,1,5,No
CLG0067,96,5.42,5.7,4,No,4,9,4,No
CLG0062,92,6.7,6.81,8,No,3,9,1,No
CLG0027,101,6.55,6.13,6,Yes,10,10,2,No
CLG0096,134,9.77,10.0,1,Yes,1,5,3,Yes
CLG0093,71,8.92,9.13,2,No,10,2,5,No
CLG0047,110,8.3,8.58,9,No,8,1,1,No
CLG0093,75,7.59,7.21,6,No,1,2,3,No
CLG0026,92,5.84,5.99,7,Yes,4,4,5,No
CLG0009,116,9.89,9.69,9,No,10,4,2,Yes
CLG0091,100,6.88,7.14,3,Yes,8,1,3,No
CLG0012,83,5.53,5.27,5,Yes,7,8,2,No
CLG0016,89,7.47,7.65,5,Yes,0,10,0,No
CLG0047,110,9.37,9.16,10,No,2,8,1,No
CLG0056,89,9.44,8.95,7,Yes,9,8,1,No
CLG0066,103,5.05,5.18,2,Yes,8,5,2,No
CLG0051,100,9.43,9.04,4,No,2,10,2,Yes
CLG0027,90,6.36,6.52,4,No,10,2,4,No
CLG0073,132,5.19,5.62,8,Yes,3,4,2,No
CLG0066,109,9.24,9.71,10,Yes,2,1,2,No
CLG0062,69,9.32,9.06,3,No,6,10,3,Yes
CLG0071,102,7.98,8.29,2,No,8,1,3,No
CLG0008,90,7.87,7.72,9,No,3,10,1,No
CLG0038,112,9.07,9.47,4,No,8,3,3,Yes
CLG0006,88,8.93,9.22,9,Yes,1,4,3,No
CLG0059,98,9.45,9.02,6,No,1,3,1,No
CLG0019,107,7.76,7.67,1,No,8,3,5,No
CLG0079,112,9.84,9.68,3,No,6,8,0,Yes
CLG0056,81,9.98,10.27,7,No,4,4,4,No
CLG0028,94,5.58,5.49,9,Yes,4,3,3,No
CLG0094,92,9.25,9.43,8,Yes,8,9,0,No
CLG0091,90,7.5,7.6,5,Yes,10,1,4,No
CLG0010,126,6.94,7.42,8,Yes,3,8,1,No
CLG0045,106,8.07,8.51,2,No,10,5,3,No
CLG0095,81,5.28,5.21,3,No,0,8,5,No
CLG0065,113,7.53,7.75,8,No,5,10,3,Yes
CLG0050,131,9.35,9.68,9,Yes,2,3,2,Yes
CLG0032,115,6.07,6.47,10,No,1,6,3,No
CLG0061,77,7.13,6.7,8,Yes,3,7,3,No
CLG0016,92,9.7,9.5,4,Yes,8,8,0,No
CLG0006,119,7.14,6.96,6,No,7,7,0,No
CLG0066,89,6.79,6.72,5,Yes,6,7,3,No
CLG0062,106,7.2,6.87,4,No,1,2,5,No
CLG0066,111,7.6,7.6,9,Yes,0,3,4,No
CLG0067,86,8.16,8.32,10,No,6,6,1,No
CLG0019,99,9.0,9.0,3,No,9,3,5,No
CLG0004,51,7.26,7.43,1,No,4,9,0,No
CLG0043,84,9.09,8.66,7,No,10,9,5,Yes
CLG0018,96,7.67,8.05,10,Yes,7,6,5,No
CLG0082,81,6.69,7.13,8,Yes,4,1,4,No
CLG0046,124,8.29,8.41,3,No,9,1,5,Yes
CLG0046,78,8.59,8.97,3,No,4,4,3,No
CLG0085,93,7.79,7.42,6,No,7,10,2,No
CLG0021,101,5.28,5.58,2,No,8,8,0,No
CLG0030,121,5.85,5.47,6,No,1,3,5,No
CLG0064,78,6.43,6.34,5,No,7,4,0,No
CLG0041,117,6.41,6.23,7,No,6,6,2,No
CLG0017,100,8.37,8.46,9,No,7,9,3,Yes
CLG0005,85,5.09,4.89,9,No,2,4,0,No
CLG0005,106,8.78,8.92,1,No,3,3,3,No
CLG0073,102,6.33,6.2,7,No,6,10,4,No
CLG0075,90,6.55,6.91,3,No,4,10,0,No
CLG0048,101,7.64,7.77,4,Yes,6,9,3,No
CLG0078,94,6.08,5.8,2,Yes,5,7,4,No
CLG0038,101,9.42,9.26,1,No,3,9,5,Yes
CLG0006,109,5.43,5.78,10,Yes,1,10,0,No
CLG0058,123,7.22,7.11,3,Yes,5,6,1,No
CLG0014,81,9.25,9.29,10,No,5,4,3,No
CLG0072,131,8.08,8.23,9,No,5,5,4,Yes
CLG0094,70,6.46,6.31,1,Yes,0,10,5,No
CLG0059,97,7.1,6.89,3,No,5,2,1,No
CLG0065,108,8.53,8.51,5,Yes,1,3,3,No
CLG0089,104,9.87,9.58,3,No,9,5,0,No
CLG0013,90,9.47,9.25,4,No,4,3,5,No
CLG0027,96,6.71,6.27,4,No,6,3,3,No
CLG0025,92,9.99,9.79,1,Yes,9,9,4,Yes
CLG0056,91,5.02,4.84,6,Yes,0,4,0,No
CLG0068,112,5.14,5.6,7,Yes,4,4,0,No
CLG0059,105,9.12,9.21,7,Yes,8,1,5,No
CLG0095,89,6.0,6.29,6,No,2,7,0,No
CLG0049,113,5.3,4.85,7,No,1,10,2,Yes
CLG0018,104,6.19,5.8,3,Yes,9,9,4,No
CLG0081,112,7.13,7.44,5,Yes,1,8,1,No
CLG0075,109,8.65,8.77,7,Yes,2,2,0,No
CLG0076,87,8.12,7.81,10,No,0,6,4,No
CLG0003,91,6.19,6.09,5,Yes,1,10,2,No
CLG0079,111,7.52,7.56,10,Yes,5,10,2,Yes
CLG0057,109,9.63,9.97,2,Yes,7,5,5,No
CLG0006,99,9.08,8.64,6,No,3,8,0,No
CLG0069,101,6.62,6.72,7,Yes,1,1,4,No
CLG0031,119,9.91,10.13,2,No,4,9,2,Yes
CLG0008,91,8.54,9.02,10,No,2,9,0,No
CLG0010,108,5.31,5.62,8,Yes,4,7,5,No
CLG0003,96,5.18,4.96,5,Yes,2,8,3,No
CLG0012,96,5.84,6.05,8,No,10,9,3,No
CLG0092,116,8.64,8.9,3,No,3,5,3,Yes
CLG0076,112,5.92,6.15,2,Yes,4,2,1,No
CLG0094,112,7.56,7.88,7,Yes,6,1,4,No
CLG0019,119,5.47,5.87,5,Yes,1,5,5,No
CLG0021,100,9.6,9.2,5,No,5,8,3,Yes
CLG0081,110,6.72,6.32,8,No,5,10,2,No
CLG0014,95,9.54,9.84,9,No,5,4,1,No
CLG0075,104,9.72,9.47,8,Yes,6,4,3,No
CLG0029,98,5.03,4.59,10,No,10,4,0,No
CLG0007,101,7.32,7.22,2,No,2,8,2,No
CLG0049,108,5.12,5.44,10,Yes,4,7,1,No
CLG0065,87,9.54,9.17,7,No,8,1,1,No
CLG0007,131,7.59,7.76,5,No,8,10,2,Yes
CLG0014,84,5.37,4.87,7,Yes,6,6,3,No
CLG0016,81,5.55,5.16,3,Yes,8,4,5,No
CLG0099,117,6.92,6.77,4,Yes,2,2,5,No
CLG0016,111,9.7,9.28,7,No,6,3,0,No
CLG0085,109,8.46,8.81,2,No,0,4,0,No
CLG0013,109,9.34,9.7,2,No,6,10,5,Yes
CLG0082,99,6.83,7.09,1,Yes,2,7,5,No
CLG0029,86,5.22,4.96,1,No,2,1,0,No
CLG0085,101,9.87,9.89,1,Yes,6,1,1,No
CLG0073,89,5.09,4.77,6,Yes,7,3,3,No
CLG0095,114,9.74,9.52,5,Yes,3,2,5,Yes
CLG0061,97,6.84,6.86,10,Yes,0,3,5,No
CLG0037,87,5.05,5.29,8,No,4,3,2,No
CLG0017,95,8.45,8.04,5,Yes,9,1,4,No
CLG0031,106,9.9,9.7,1,Yes,3,6,0,No
CLG0059,91,9.83,10.26,8,No,8,8,2,Yes
CLG0088,87,5.8,5.73,6,No,2,5,5,No
CLG0047,103,5.91,6.35,8,Yes,3,1,5,No
CLG0006,103,7.83,8.32,2,Yes,9,10,2,Yes
CLG0032,92,8.19,8.22,10,Yes,2,7,5,No
CLG0031,92,8.7,8.49,8,No,2,10,0,No
CLG0018,103,5.91,6.2,6,No,6,9,4,No
CLG0009,78,9.8,9.46,1,No,4,7,1,No
CLG0003,78,8.19,7.94,1,Yes,4,9,1,No
CLG0071,89,9.24,9.52,10,No,3,10,3,Yes
CLG0026,96,7.7,7.63,5,No,9,9,5,No
CLG0013,104,7.07,6.77,7,Yes,7,2,1,No
CLG0034,122,9.89,10.04,4,No,0,8,2,Yes
CLG0043,112,7.91,8.14,10,No,10,7,1,No
CLG0093,97,9.33,8.96,5,No,8,7,3,No
CLG0033,99,9.77,9.55,10,No,10,2,2,No
CLG0069,84,8.38,8.1,3,No,8,1,2,No
CLG0036,99,7.74,7.62,2,No,10,4,4,No
CLG0079,95,5.02,5.28,2,No,4,7,5,No
CLG0074,104,5.2,5.41,5,No,0,6,0,No
CLG0068,87,6.0,6.16,4,Yes,1,10,0,No
CLG0047,107,5.93,5.44,2,No,1,2,0,No
CLG0061,122,6.27,5.91,5,Yes,5,7,3,No
CLG0045,98,6.52,6.24,10,Yes,9,10,1,No
CLG0096,106,6.8,6.57,9,No,8,9,0,No
CLG0088,110,7.1,6.75,8,No,2,2,1,No
CLG0084,93,5.49,5.4,9,No,7,10,0,No
CLG0048,103,5.21,4.79,9,No,1,5,4,No
CLG0041,100,8.37,8.62,8,No,4,2,1,No
CLG0038,101,7.69,7.98,9,No,3,1,3,No
